sequence,det_HOTA_delta,cls_HOTA_delta,DetA_delta,AssA_delta,GT_Dets,weighted_det_delta
data39-6,1.0020360775565536,-1.5744999999999933,1.7995418633954614,-0.15130328271713722,2022.0,2026.1169488193514
data40-3,-1.2146103162834123,2.3262499999999946,0.07131064430665646,-3.2743040973324895,625.0,-759.1314476771327
data40-4,2.0316323762056854,0.9120000000000008,0.05316603119801755,5.683723090148135,2754.0,5595.115564070457
data40-5,-0.2406928101866157,0.7554999999999907,0.12013888146886131,-0.5743534222212929,3584.0,-862.6430317088307
data41-1,-3.6129454144556234,-1.3286250000000024,-4.741383354571539,-2.151284727297167,363.0,-1311.4991854473913
data42-1,-0.04293213703584797,0.5714500000000058,-0.7875920163086505,0.7424954989961208,6537.0,-280.6473798033382
data42-2,1.3387672406708901,0.01675000000000182,2.1931639422312017,0.18338723166009174,2042.0,2733.7627054499576
data42-3,-0.4055346605062198,-0.9919999999999973,-3.0285369439055785,2.762722099913276,1317.0,-534.0891478866914
data46-11,1.269915690201067,4.8328500000000005,2.003253412187938,-0.289018153930229,7641.0,9703.425788826353
data46-12,-0.15623288728052387,9.094575000000003,-0.72137762899834,0.5538302610437569,4556.0,-711.7970344500668
data47-1,13.712013001158553,2.440125000000002,11.629124985656198,13.79571609434317,246.0,3373.155198285004
data47-2,-3.0909334575215084,-2.8818374999999996,-5.818047525367241,0.43294829987630123,1396.0,-4314.943106700026
data47-3,-4.3734813472607925,-3.3790000000000013,-4.591103533345176,-3.8119012819863087,2653.0,-11602.846014282883
data47-4,-4.800555973443416,0.8765000000000001,-4.3674259565027,-5.0712401628937585,810.0,-3888.450338489167
data48-1,-0.25642509976704275,0.6551250000000017,-0.22798841178489226,-1.4632342836376324,597.0,-153.08578456092454
data49-2,2.821816343097666,5.843125000000001,3.032437426576884,2.4332677775184806,3400.0,9594.175566532063
