sequence,base_HOTA,experiment_HOTA,HOTA_delta,base_DetA,experiment_DetA,DetA_delta,base_AssA,experiment_AssA,AssA_delta,base_DetRe,experiment_DetRe,DetRe_delta,base_DetPr,experiment_DetPr,DetPr_delta,base_MOTA,experiment_MOTA,MOTA_delta,base_IDF1,experiment_IDF1,IDF1_delta,base_IDSW,experiment_IDSW,IDSW_delta,base_Frag,experiment_Frag,Frag_delta,base_CLR_FP,experiment_CLR_FP,CLR_FP_delta,base_CLR_FN,experiment_CLR_FN,CLR_FN_delta,base_GT_Dets,experiment_GT_Dets,GT_Dets_delta,det_HOTA_delta,cls_HOTA_delta,base_raw_precision,experiment_raw_precision,raw_precision_delta,base_raw_recall,experiment_raw_recall,raw_recall_delta,base_raw_f1,experiment_raw_f1,raw_f1_delta,base_raw_loc_iou,experiment_raw_loc_iou,raw_loc_iou_delta,base_pair_precision,experiment_pair_precision,pair_precision_delta,base_pair_recall,experiment_pair_recall,pair_recall_delta,cause
data30-2,62.383287653917584,63.437868825664914,1.05458117174733,54.71814471650811,55.90144931978476,1.1833046032766532,72.6963826107486,73.49500119089404,0.798618580145444,61.57660297737662,60.921345680459495,-0.655257296917128,72.35774597446245,75.68811347682987,3.330367502367423,64.05345211581292,66.6815144766147,2.6280623608017777,76.11599085549273,77.36920039486674,1.2532095393740121,43.0,46.0,3.0,177.0,162.0,-15.0,451.0,287.0,-164.0,1120.0,1163.0,43.0,4490.0,4490.0,0.0,1.05458117174733,8.816375,81.81614349775785,82.1622846781505,0.3461411803926495,81.26948775055679,80.73496659242761,-0.5345211581291807,81.54189944134077,81.44237250056167,-0.09952694077909996,77.58868282268303,77.69559238198502,0.10690955930199664,99.84898822108124,99.6956786366403,-0.15330958444094733,77.49648382559775,76.79324894514767,-0.7032348804500828,improved
data30-3,59.47488530426598,62.976964486571674,3.5020791823056925,52.996498775814196,56.86264013851182,3.8661413626976255,67.93389032707724,71.1154269690976,3.1815366420203617,59.29639157338526,62.42369463950496,3.127303066119701,72.11980787444188,74.53428523991366,2.4144773654717824,63.85733157199471,69.2998678996037,5.442536327608984,73.48122372045816,78.1883537023724,4.707129981914235,45.0,41.0,-4.0,109.0,114.0,5.0,325.0,253.0,-72.0,998.0,868.0,-130.0,3785.0,3785.0,0.0,3.5020791823056925,10.8072375,84.08219178082192,86.85666851134476,2.7744767305228493,81.08322324966974,82.9326287978864,1.8494055482166516,82.55548083389374,84.8493039599946,2.293823126100861,76.98425302684365,77.36028848164312,0.376035454799478,99.64875307341062,100.0,0.3512469265893827,78.47856154910097,80.38727524204702,1.9087136929460513,improved
data30-4,67.55438238166671,66.84812880494655,-0.7062535767201581,59.39587161936991,58.910516092104615,-0.4853555272652983,77.79152386021464,76.94909499886549,-0.8424288613491484,67.32441703336683,66.9450123003361,-0.3794047330307251,73.046992481203,73.02655201738638,-0.020440463816626675,73.33772218564846,71.62606978275181,-1.7116524028966467,84.41247002398082,81.88219131032113,-2.5302787136596834,10.0,13.0,3.0,47.0,49.0,2.0,281.0,298.0,17.0,519.0,551.0,32.0,3038.0,3038.0,0.0,-0.7062535767201581,6.261700000000005,90.78903928689337,90.52769583743036,-0.2613434494630127,90.52007899934166,90.91507570770243,0.3949967083607646,90.65435965056865,90.72097224503204,0.0666125944633933,78.97630407742479,79.17333559890444,0.19703152147965852,99.96172981247608,99.88553987027852,-0.07618994219755848,88.81332879972798,89.01734104046243,0.20401224073444268,association-dominant
data30-5,57.34774874721688,55.77749549387766,-1.5702532533392244,44.80515260332073,42.575553812622054,-2.229598790698674,75.13879311292762,74.86832804268562,-0.27046507024199684,49.91076032205607,48.45119581168446,-1.4595645103716137,70.23497237260703,67.92893485695221,-2.306037515654822,51.7709118311982,47.66390354182366,-4.107008289374541,69.95594713656388,67.3850890697163,-2.5708580668475776,6.0,8.0,2.0,67.0,64.0,-3.0,253.0,310.0,57.0,1021.0,1071.0,50.0,2654.0,2654.0,0.0,-1.5702532533392244,5.641124999999995,71.41726049089469,68.74057315233786,-2.6766873385568317,67.97287113790505,68.6887716654107,0.7159005275056529,69.65250965250965,68.71466264606106,-0.9378470064485924,76.00821792530081,75.68504838880868,-0.32316953649213076,99.87908101571948,99.81617647058823,-0.06290454513124644,64.45571595786188,63.55833008193523,-0.897385875926652,detection-dominant
data30-9,57.30457895312624,56.36085914170934,-0.9437198114168979,45.66864383458831,43.62583755296578,-2.042806281622532,74.22104189350345,74.91529381362379,0.6942519201203368,51.60038235379313,49.233844103930714,-2.3665382498624155,68.56153180025017,68.28846926476496,-0.2730625354852094,51.926252063841495,49.53219592735278,-2.3940561364887145,70.27790861987752,69.45954589063,-0.8183627292475251,24.0,18.0,-6.0,104.0,98.0,-6.0,412.0,401.0,-11.0,1311.0,1415.0,104.0,3634.0,3634.0,0.0,-0.9437198114168979,2.1131249999999966,73.5067162046299,72.12402202260215,-1.3826941820277483,70.77600440286186,68.49201981287837,-2.28398458998349,72.11551941679518,70.26111503175724,-1.8544043850379381,75.29323380447715,75.4853951513869,0.1921613469097423,99.1813873330461,99.55849889624724,0.37711156320114014,66.53179190751445,65.17341040462428,-1.3583815028901682,detection-only
data31-1,38.782093231684506,40.921295439974834,2.139202208290328,35.551586387476945,34.636031792594544,-0.9155545948824013,42.52128268984619,48.67146292004366,6.150180230197471,42.077057595757886,42.41552434140012,0.33846674564223633,52.13531837562033,49.4053485774361,-2.7299697981842286,29.36763129689175,26.152197213290464,-3.215434083601288,54.68564650059312,57.09342560553633,2.4077791049432093,5.0,5.0,0.0,69.0,79.0,10.0,237.0,276.0,39.0,417.0,408.0,-9.0,933.0,933.0,0.0,2.139202208290328,0.26737500000000036,63.576881134133046,59.61342828077314,-3.963452853359904,62.486602357985,62.80814576634513,0.32154340836012807,63.027027027027025,61.16910229645094,-1.8579247305760873,64.28574007675435,63.513100940619715,-0.7726391361346359,100.0,99.79123173277662,-0.20876826722337682,52.70562770562771,51.73160173160173,-0.9740259740259845,detection-only
data33-1,47.3812132022647,57.76262088527639,10.381407683011687,48.738682648483774,63.60219364642343,14.863510997939656,46.11063776850971,52.60668659134109,6.496048822831376,66.0738604502123,69.32628374589441,3.252423295682121,55.441285205350546,74.79042433670384,19.34913913135329,54.03348554033486,81.58295281582953,27.54946727549467,61.38888888888889,72.82780410742497,11.438915218536074,16.0,11.0,-5.0,11.0,9.0,-2.0,206.0,31.0,-175.0,80.0,79.0,-1.0,657.0,657.0,0.0,10.381407683011687,1.2977499999999997,50.598290598290596,82.14285714285714,31.544566544566543,90.10654490106545,91.01978691019787,0.9132420091324178,64.8056923918993,86.3537906137184,21.548098221819103,73.40430146196505,76.72596902564717,3.3216675636821265,100.0,99.82332155477032,-0.17667844522968323,87.9746835443038,89.39873417721519,1.4240506329113884,improved
data34-1,34.76755849955837,31.410398487816565,-3.3571600117418043,39.27313338910029,36.182962186222944,-3.090171202877343,34.66085039730358,31.290642935589517,-3.3702074617140596,45.11804384485666,41.959705334161704,-3.1583385106949535,60.360970107163006,56.338968104059525,-4.022002003103481,33.75210792580101,25.96121416526138,-7.790893760539632,38.002412545235224,34.35944522302228,-3.6429673222129466,456.0,484.0,28.0,809.0,957.0,148.0,2203.0,2635.0,432.0,5198.0,5662.0,464.0,11860.0,11860.0,0.0,-3.3571600117418043,-7.9315,64.04484838189076,58.43462549277266,-5.6102228891180985,63.57504215851601,59.99156829679595,-3.5834738617200657,63.809080522997505,59.202862373107,-4.606218149890502,70.59265156051721,68.70389489837918,-1.8887566621380358,98.12606473594549,98.4794728839331,0.3534081479876079,55.095652173913045,50.686956521739134,-4.408695652173911,association-dominant
data34-2,58.21441311865464,58.391710124598795,0.17729700594415476,46.799356879699175,47.54703806907714,0.747681189377964,75.8531229716513,74.44749000985027,-1.4056329618010324,53.90041683844075,53.4148687646008,-0.4855480738399507,68.69836821671483,71.99259144929775,3.2942232325829224,47.95474325500435,50.87032201914708,2.9155787641427295,68.1297244574494,68.1488883337497,0.019163876300297034,23.0,32.0,9.0,79.0,78.0,-1.0,339.0,252.0,-87.0,834.0,845.0,11.0,2298.0,2298.0,0.0,0.17729700594415476,-1.6569999999999965,73.1629392971246,74.32683379758589,1.1638945004612964,69.75630983463881,69.6692776327241,-0.08703220191470962,71.41902428157718,71.92273135669362,0.5037070751164379,77.08539748314539,77.9239714403941,0.8385739572487125,99.36619718309859,99.2280701754386,-0.13812700765998898,64.42922374429224,64.5662100456621,0.13698630136985912,association-only
data34-3,44.22792205000888,42.959128572037166,-1.2687934779717125,41.75828668083598,40.69996167556229,-1.0583250052736872,50.17258570289054,49.584903323264264,-0.5876823796262727,48.1672208255616,46.55137458438084,-1.615846241180762,57.916676824065725,58.57846263744674,0.6617858133810159,33.05084745762712,33.59013867488444,0.5392912172573219,56.74027339642481,55.46254561064606,-1.277727785778751,75.0,73.0,-2.0,207.0,218.0,11.0,613.0,559.0,-54.0,1050.0,1092.0,42.0,2596.0,2596.0,0.0,-1.2687934779717125,-7.829375000000006,59.01920438957477,60.80546565983459,1.7862612702598213,66.29429892141756,65.13867488443759,-1.1556240369799724,62.44557329462991,62.89752650176678,0.45195320713686726,68.04648537117336,68.42121556379223,0.37473019261886975,99.04552129221733,97.53731343283583,-1.5082078593814998,54.373236598145915,52.68037081821846,-1.692865779927459,detection-dominant
