sequence,base_HOTA,experiment_HOTA,HOTA_delta,base_DetA,experiment_DetA,DetA_delta,base_AssA,experiment_AssA,AssA_delta,base_DetRe,experiment_DetRe,DetRe_delta,base_DetPr,experiment_DetPr,DetPr_delta,base_MOTA,experiment_MOTA,MOTA_delta,base_IDF1,experiment_IDF1,IDF1_delta,base_IDSW,experiment_IDSW,IDSW_delta,base_Frag,experiment_Frag,Frag_delta,base_CLR_FP,experiment_CLR_FP,CLR_FP_delta,base_CLR_FN,experiment_CLR_FN,CLR_FN_delta,base_GT_Dets,experiment_GT_Dets,GT_Dets_delta,det_HOTA_delta,cls_HOTA_delta,base_raw_precision,experiment_raw_precision,raw_precision_delta,base_raw_recall,experiment_raw_recall,raw_recall_delta,base_raw_f1,experiment_raw_f1,raw_f1_delta,base_raw_loc_iou,experiment_raw_loc_iou,raw_loc_iou_delta,base_pair_precision,experiment_pair_precision,pair_precision_delta,base_pair_recall,experiment_pair_recall,pair_recall_delta,cause
data23-1,61.94674410606208,65.53442256438971,3.5876784583276375,52.28448638183747,60.34524548546764,8.060759103630176,75.35921986101188,73.58806469273385,-1.7711551682780282,55.579443502708074,64.99772605118453,9.418282548476455,75.34891541953927,73.81097704117565,-1.53793837836362,65.27886881382561,78.94736842105263,13.66849960722702,77.75768535262206,84.46115288220551,6.703467529583449,6.0,8.0,2.0,23.0,25.0,2.0,51.0,54.0,3.0,385.0,206.0,-179.0,1273.0,1273.0,0.0,3.5876784583276375,-0.8245500000000021,92.66968325791855,91.39344262295081,-1.2762406349677349,80.43990573448548,87.5883739198743,7.148468185388822,86.12279226240538,89.4504612916165,3.3276690292111226,75.46475595299853,74.63684831499519,-0.8279076380033388,99.89680082559339,100.0,0.10319917440661186,77.87610619469027,85.76025744167337,7.884151246983109,association-only
data24-1,55.76172946362383,56.874479139778074,1.1127496761542446,46.25412728327308,47.93399901796309,1.6798717346900105,70.38310404001443,70.69377925577842,0.31067521576399315,55.334734543992106,57.87414957843987,2.5394150344477637,65.54193910592664,65.08547583793244,-0.45646326799420933,46.911671063403986,50.91421813881561,4.002547075411627,63.64802209726743,66.39060092449924,2.74257882723181,162.0,160.0,-2.0,479.0,445.0,-34.0,1981.0,2009.0,28.0,3693.0,3227.0,-466.0,10993.0,10993.0,0.0,1.1127496761542446,4.067999999999998,71.5734234634884,70.63786702666218,-0.9355564368262179,73.20112799053943,76.15755480760484,2.956426817065406,72.37812556215147,73.29393740424601,0.9158118420945414,77.60907999802683,76.77894902193756,-0.830130976089265,99.8510090749018,99.87044954009586,0.019440465194065837,68.79432624113475,71.9391564016424,3.1448301605076523,improved
data27-1,46.860264466034856,50.19567175492392,3.3354072888890656,33.92288348192077,37.96928541953285,4.046401937612082,65.0168753546557,66.69076784711146,1.6738924924557637,42.39187076602396,46.925482021886396,4.533611255862432,58.65176640230714,61.55160628844838,2.899839886141244,22.772277227722775,31.18811881188119,8.415841584158414,48.85057471264368,56.17977528089888,7.329200568255203,8.0,3.0,-5.0,5.0,4.0,-1.0,46.0,44.0,-2.0,102.0,92.0,-10.0,202.0,202.0,0.0,3.3354072888890656,2.053374999999999,58.951965065502186,54.88721804511278,-4.0647470203894045,66.83168316831683,72.27722772277228,5.445544554455452,62.64501160092808,62.39316239316239,-0.2518492077656873,83.64938217732642,83.63604034769209,-0.01334182963432795,98.30508474576271,98.50746268656717,0.20237794080445326,61.702127659574465,70.2127659574468,8.51063829787234,improved
data28-1,65.42808773611965,65.76254458321958,0.3344568470999292,64.11346267911613,62.78907389922653,-1.3243887798895955,66.91651609554214,69.10591172047752,2.1893956249353863,70.42758181383869,71.27292512673513,0.8453433128964463,78.92506060290596,75.8841398799011,-3.0409207230048594,73.27281896116995,71.53303076147252,-1.7397881996974291,74.32378414390406,77.25913405278897,2.935349908884902,45.0,38.0,-7.0,61.0,82.0,21.0,294.0,425.0,131.0,721.0,666.0,-55.0,3966.0,3966.0,0.0,0.3344568470999292,-3.0731249999999903,82.80843002604783,77.56354075372481,-5.244889272323022,88.17448310640444,89.25869894099849,1.0842158345940476,85.4072536329222,83.00117233294255,-2.406081299979661,83.2977376017514,83.19344751863072,-0.10429008312067367,99.55463182897863,99.79526177244809,0.24062994346945743,87.09090909090908,88.62337662337663,1.5324675324675496,detection-only
data28-2,67.72018148409325,65.21875354439595,-2.501427939697294,60.543469601031155,62.51002014361592,1.9665505425847627,75.97228412430754,68.6826491044644,-7.289635019843132,67.33362331448456,68.39930404523706,1.0656807307525042,72.34067410479584,74.31035501210941,1.969680907313574,76.96280991735537,77.99586776859503,1.0330578512396613,87.64044943820225,81.76438945669715,-5.876059981505108,6.0,16.0,10.0,13.0,23.0,10.0,75.0,60.0,-15.0,142.0,137.0,-5.0,968.0,968.0,0.0,-2.501427939697294,-0.7142374999999959,93.82845188284519,85.40856031128405,-8.419891571561138,92.66528925619835,90.70247933884298,-1.9628099173553721,93.24324324324324,87.97595190380761,-5.26729133943563,76.4300455280072,77.23530700773951,0.8052614797323088,99.4199535962877,99.04648390941597,-0.3734696868717293,91.85423365487674,89.06752411575563,-2.786709539121105,association-only
data28-3,42.8602749540005,44.68315040030575,1.8228754463052468,27.213550461288012,37.657991495440584,10.444441034152572,68.35059340445731,53.66691604862947,-14.683677355827847,35.81726593712003,44.20705228417579,8.389786347055761,49.330143540669845,62.59222823413675,13.262084693466903,10.561056105610561,37.95379537953795,27.39273927392739,47.41873804971319,59.18762088974855,11.76888284003536,2.0,5.0,3.0,5.0,6.0,1.0,93.0,47.0,-46.0,176.0,136.0,-40.0,303.0,303.0,0.0,1.8228754463052468,1.5474999999999994,64.54081632653062,69.6,5.059183673469377,83.4983498349835,86.13861386138613,2.640264026402633,72.80575539568346,76.99115044247787,4.185395046794412,79.18006787187026,75.4173660272611,-3.7627018446091682,100.0,100.0,0.0,82.05128205128204,78.3882783882784,-3.66300366300365,association-only
data28-4,60.20732468221136,54.97092647117473,-5.236398211036629,57.306254490955354,46.70930497523781,-10.59694951571754,64.53655617033917,65.16480828754972,0.6282521172105504,61.22123490544544,49.23672818409662,-11.984506721348822,77.27926373310325,77.3720014321518,0.09273769904855556,64.93506493506493,53.246753246753244,-11.688311688311686,74.39613526570048,68.25396825396825,-6.1421670117322265,19.0,8.0,-11.0,5.0,3.0,-2.0,7.0,8.0,1.0,55.0,92.0,37.0,231.0,231.0,0.0,-5.236398211036629,-2.8022500000000043,67.59581881533101,62.40875912408759,-5.187059691243427,83.98268398268398,74.02597402597402,-9.956709956709958,74.9034749034749,67.72277227722772,-7.180702626247182,77.76392338240576,77.11549944173522,-0.6484239406705399,89.88095238095238,90.97222222222221,1.0912698412698347,74.01960784313727,64.2156862745098,-9.803921568627459,detection-only
data28-5,60.13447678659829,62.56017635778196,2.425699571183671,50.954338917916296,56.2172711129859,5.262932195069602,73.71533690813735,71.90727139033001,-1.8080655178073357,58.958872591314346,63.704342824273795,4.745470232959448,64.99682942295497,68.17482302246844,3.1779935995134707,56.284153005464475,64.48087431693989,8.196721311475414,76.21776504297995,80.22598870056498,4.0082236575850345,1.0,3.0,2.0,15.0,15.0,0.0,31.0,25.0,-6.0,48.0,37.0,-11.0,183.0,183.0,0.0,2.425699571183671,1.8751250000000006,70.13574660633483,80.8080808080808,10.672334201745969,84.69945355191257,87.43169398907104,2.7322404371584668,76.73267326732672,83.98950131233595,7.256828045009229,72.1836514086012,73.45408318797126,1.270431779370071,99.17355371900827,100.0,0.8264462809917319,72.72727272727273,73.93939393939394,1.212121212121204,association-only
data28-6,14.07856270899736,46.68002727430448,32.60146456530712,5.019129561558133,31.78934401319593,26.7702144516378,39.55615332314425,68.92897638457688,29.372823061432634,7.937877480586714,46.54874892148405,38.610871440897334,11.882466903454958,47.12819392880543,35.245727025350476,-49.59016393442623,10.655737704918032,60.24590163934426,9.828009828009828,54.84536082474227,45.017350996732446,2.0,1.0,-1.0,2.0,9.0,7.0,141.0,107.0,-34.0,222.0,110.0,-112.0,244.0,244.0,0.0,32.60146456530712,10.9301125,63.30275229357798,68.63354037267081,5.330788079092827,84.8360655737705,90.57377049180327,5.737704918032776,72.50437828371278,78.09187279151944,5.587494507806653,83.42859087070981,82.453365280078,-0.9752255906318084,96.55172413793103,98.42105263157895,1.869328493647913,73.36244541484717,81.6593886462882,8.296943231441034,improved
data30-10,61.3967051725014,61.80604672959811,0.4093415570967096,51.40091828171557,52.78013669901722,1.3792184173016508,74.40811691220107,73.53977935178021,-0.868337560420855,56.980107171694925,57.91455626513983,0.9344490934449041,74.02561486157867,74.41709111488399,0.39147625330531355,59.693165969316595,62.55230125523013,2.8591352859135313,73.92229490109544,75.73333333333333,1.8110384322378934,65.0,45.0,-20.0,214.0,198.0,-16.0,587.0,525.0,-62.0,2238.0,2115.0,-123.0,7170.0,7170.0,0.0,0.4093415570967096,5.275750000000002,84.92721865706685,85.43990086741016,0.5126822103433142,75.67642956764296,76.93165969316597,1.2552301255230134,80.03540084076998,80.96286511081755,0.9274642700475653,78.66108285011212,78.05925423155814,-0.6018286185539807,99.56650246305418,99.82558139534883,0.2590789322946563,72.69457631995397,74.10444540353906,1.409869083585093,association-only
